%year	month	day	sea-air CO2 flux (mmol m^-2 d^-1)
2014	12	19	1.19
2014	12	20	4.72
2014	12	21	0.20
2014	12	22	0.39
2014	12	23	4.99
2014	12	24	0.28
2014	12	25	0.79
2014	12	26	0.23
2014	12	27	2.21
2014	12	28	2.74
2014	12	29	9.16
2014	12	30	0.45
2014	12	31	0.30
2015	1	1	0.23
2015	1	2	0.24
2015	1	3	0.87
2015	1	4	1.90
2015	1	5	0.09
2015	1	6	0.14
2015	1	7	0.15
2015	1	8	0.18
2015	1	9	0.10
2015	1	10	0.09
2015	1	11	0.14
2015	1	12	0.07
2015	1	13	0.07
2015	1	14	0.43
2015	1	15	1.04
2015	1	24	0.57
2015	1	25	0.99
2015	1	26	0.57
2015	1	27	0.83
2015	1	28	0.34
2015	1	29	0.24
2015	1	30	0.16
2015	2	1	0.20
2015	2	2	0.56
2015	2	3	0.03
2015	2	4	0.03
2015	2	5	1.22
2015	2	6	0.96
2015	2	7	0.64
2015	2	8	1.00
2015	2	9	0.17
2015	2	10	0.01
2015	2	12	1.00
2015	2	13	0.44
2015	2	14	0.59
2015	2	15	0.30
2015	2	16	0.08
2015	2	17	0.07
2015	2	18	0.17
2015	2	19	0.04
2015	2	20	0.65
2015	2	21	0.27
2015	2	22	0.24
2015	2	23	0.25
2015	2	24	0.45
2015	2	25	0.19
2015	2	26	0.47
2015	2	27	2.30
2015	2	28	3.45
2015	3	1	0.07
2015	3	2	-2.18
2015	3	3	-0.80
2015	3	4	-0.69
2015	3	5	-0.19
2015	3	6	-0.36
2015	3	7	-0.52
2015	3	8	-0.59
2015	3	9	-0.56
2015	3	10	-0.41
2015	3	11	-1.03
2015	3	25	-0.41
2015	3	26	-0.20
2015	3	27	-0.07
2015	3	28	-0.06
2015	3	29	0.16
2015	3	30	0.09
2015	3	31	0.27
2015	4	1	0.08
2015	4	2	0.19
2015	4	3	0.64
2015	4	4	0.04
2015	4	5	-0.08
2015	4	6	-0.18
2015	4	7	-0.27
2015	4	8	-0.82
2015	4	9	-0.16
2015	4	10	-3.77
2015	4	11	-1.26
