# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-03-07 11:41:54 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12048000 DUNGENESS RIVER NEAR SEQUIM, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12048000
#            TS   parameter     statistic     Description
#        148548       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	148548_00060_00003	148548_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12048000	1923-06-01	750	A
USGS	12048000	1923-06-02	750	A
USGS	12048000	1923-06-03	750	A
USGS	12048000	1923-06-04	750	A
USGS	12048000	1923-06-05	750	A
USGS	12048000	1923-06-06	750	A
USGS	12048000	1923-06-07	750	A
USGS	12048000	1923-06-08	1130	A
USGS	12048000	1923-06-09	1020	A
USGS	12048000	1923-06-10	910	A
USGS	12048000	1923-06-11	845	A
USGS	12048000	1923-06-12	780	A
USGS	12048000	1923-06-13	725	A
USGS	12048000	1923-06-14	670	A
USGS	12048000	1923-06-15	596	A
USGS	12048000	1923-06-16	521	A
USGS	12048000	1923-06-17	542	A
USGS	12048000	1923-06-18	570	A
USGS	12048000	1923-06-19	570	A
USGS	12048000	1923-06-20	570	A
USGS	12048000	1923-06-21	570	A
USGS	12048000	1923-06-22	570	A
USGS	12048000	1923-06-23	570	A
USGS	12048000	1923-06-24	570	A
USGS	12048000	1923-06-25	570	A
USGS	12048000	1923-06-26	670	A
USGS	12048000	1923-06-27	825	A
USGS	12048000	1923-06-28	980	A
USGS	12048000	1923-06-29	980	A
USGS	12048000	1923-06-30	980	A
USGS	12048000	1923-07-01	880	A
USGS	12048000	1923-07-02	780	A
USGS	12048000	1923-07-03	743	A
USGS	12048000	1923-07-04	707	A
USGS	12048000	1923-07-05	670	A
USGS	12048000	1923-07-06	670	A
USGS	12048000	1923-07-07	670	A
USGS	12048000	1923-07-08	670	A
USGS	12048000	1923-07-09	670	A
USGS	12048000	1923-07-10	670	A
USGS	12048000	1923-07-11	670	A
USGS	12048000	1923-07-12	653	A
USGS	12048000	1923-07-13	637	A
USGS	12048000	1923-07-14	620	A
USGS	12048000	1923-07-15	603	A
USGS	12048000	1923-07-16	587	A
USGS	12048000	1923-07-17	570	A
USGS	12048000	1923-07-18	522	A
USGS	12048000	1923-07-19	474	A
USGS	12048000	1923-07-20	452	A
USGS	12048000	1923-07-21	429	A
USGS	12048000	1923-07-22	414	A
