# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-03-06 20:48:28 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12045500 ELWHA RIVER AT MCDONALD BR NEAR PORT ANGELES, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12045500
#            TS   parameter     statistic     Description
#        148527       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	148527_00060_00003	148527_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12045500	1897-10-01	500	A
USGS	12045500	1897-10-02	500	A
USGS	12045500	1897-10-03	500	A
USGS	12045500	1897-10-04	490	A
USGS	12045500	1897-10-05	490	A
USGS	12045500	1897-10-06	470	A
USGS	12045500	1897-10-07	460	A
USGS	12045500	1897-10-08	450	A
USGS	12045500	1897-10-09	450	A
USGS	12045500	1897-10-10	450	A
USGS	12045500	1897-10-11	450	A
USGS	12045500	1897-10-12	525	A
USGS	12045500	1897-10-13	600	A
USGS	12045500	1897-10-14	412	A
USGS	12045500	1897-10-15	375	A
USGS	12045500	1897-10-16	338	A
USGS	12045500	1897-10-17	338	A
USGS	12045500	1897-10-18	300	A
USGS	12045500	1897-10-19	638	A
USGS	12045500	1897-10-20	788	A
USGS	12045500	1897-10-21	1690	A
USGS	12045500	1897-10-22	1350	A
USGS	12045500	1897-10-23	1580	A
USGS	12045500	1897-10-24	900	A
USGS	12045500	1897-10-25	712	A
USGS	12045500	1897-10-26	712	A
USGS	12045500	1897-10-27	675	A
USGS	12045500	1897-10-28	675	A
USGS	12045500	1897-10-29	638	A
USGS	12045500	1897-10-30	638	A
USGS	12045500	1897-10-31	600	A
USGS	12045500	1897-11-01	600	A
USGS	12045500	1897-11-02	562	A
USGS	12045500	1897-11-03	562	A
USGS	12045500	1897-11-04	600	A
USGS	12045500	1897-11-05	638	A
USGS	12045500	1897-11-06	600	A
USGS	12045500	1897-11-07	600	A
USGS	12045500	1897-11-08	638	A
USGS	12045500	1897-11-09	2190	A
USGS	12045500	1897-11-10	1540	A
USGS	12045500	1897-11-11	2430	A
USGS	12045500	1897-11-12	1500	A
USGS	12045500	1897-11-13	1350	A
USGS	12045500	1897-11-14	1310	A
USGS	12045500	1897-11-15	1240	A
USGS	12045500	1897-11-16	1160	A
USGS	12045500	1897-11-17	1240	A
USGS	12045500	1897-11-18	24400	A
USGS	12045500	1897-11-19	10300	A
USGS	12045500	1897-11-20	2760	A
USGS	12045500	1897-11-21	2190	A
USGS	12045500	1897-11-22	1990	A
USGS	12045500	1897-11-23	1640	A
USGS	12045500	1897-11-24	1480	A
USGS	12045500	1897-11-25	1240	A
USGS	12045500	1897-11-26	1090	A
USGS	12045500	1897-11-27	1020	A
USGS	12045500	1897-11-28	1560	A
USGS	12045500	1897-11-29	1600	A
USGS	12045500	1897-11-30	1900	A
USGS	12045500	1897-12-01	1520	A
USGS	12045500	1897-12-02	1150	A
USGS	12045500	1897-12-03	1560	A
USGS	12045500	1897-12-04	1600	A
USGS	12045500	1897-12-05	1860	A
USGS	12045500	1897-12-06	3240	A
USGS	12045500	1897-12-07	6480	A
USGS	12045500	1897-12-08	4120	A
USGS	12045500	1897-12-09	3040	A
USGS	12045500	1897-12-10	2990	A
USGS	12045500	1897-12-11	2720	A
USGS	12045500	1897-12-12	2310	A
USGS	12045500	1897-12-13	2430	A
USGS	12045500	1897-12-14	3340	A
USGS	12045500	1897-12-15	2590	A
USGS	12045500	1897-12-16	2120	A
USGS	12045500	1897-12-17	2350	A
USGS	12045500	1897-12-18	1600	A
USGS	12045500	1897-12-19	1560	A
USGS	12045500	1897-12-20	1520	A
USGS	12045500	1897-12-21	1600	A
USGS	12045500	1897-12-22	1240	A
USGS	12045500	1897-12-23	1150	A
USGS	12045500	1897-12-24	1240	A
USGS	12045500	1897-12-25	1480	A
USGS	12045500	1897-12-26	1640	A
USGS	12045500	1897-12-27	7680	A
USGS	12045500	1897-12-28	11800	A
USGS	12045500	1897-12-29	7680	A
USGS	12045500	1897-12-30	3290	A
USGS	12045500	1897-12-31	2900	A
USGS	12045500	1898-01-01	3580	A
USGS	12045500	1898-01-02	2470	A
USGS	12045500	1898-01-03	2350	A
USGS	12045500	1898-01-04	2240	A
USGS	12045500	1898-01-05	2120	A
USGS	12045500	1898-01-06	2120	A
USGS	12045500	1898-01-07	2120	A
USGS	12045500	1898-01-08	2120	A
USGS	12045500	1898-01-09	1680	A
USGS	12045500	1898-01-10	1480	A
USGS	12045500	1898-01-11	1680	A
USGS	12045500	1898-01-12	1430	A
USGS	12045500	1898-01-13	1340	A
USGS	12045500	1898-01-14	1340	A
USGS	12045500	1898-01-15	1340	A
USGS	12045500	1898-01-16	1290	A
USGS	12045500	1898-01-17	1290	A
USGS	12045500	1898-01-18	1340	A
USGS	12045500	1898-01-19	1710	A
USGS	12045500	1898-01-20	1680	A
USGS	12045500	1898-01-21	1680	A
USGS	12045500	1898-01-22	1380	A
USGS	12045500	1898-01-23	1240	A
USGS	12045500	1898-01-24	1240	A
USGS	12045500	1898-01-25	1020	A
USGS	12045500	1898-01-26	911	A
USGS	12045500	1898-01-27	855	A
USGS	12045500	1898-01-28	911	A
USGS	12045500	1898-01-29	1150	A
USGS	12045500	1898-01-30	1200	A
USGS	12045500	1898-01-31	1020	A
USGS	12045500	1898-02-01	1020	A
USGS	12045500	1898-02-02	967	A
USGS	12045500	1898-02-03	1150	A
USGS	12045500	1898-02-04	1090	A
USGS	12045500	1898-02-05	2890	A
