# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-03-07 11:43:50 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12043300 HOKO RIVER NEAR SEKIU, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12043300
#            TS   parameter     statistic     Description
#        148515       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	148515_00060_00003	148515_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12043300	1962-08-01	25.0	A
USGS	12043300	1962-08-02	27.0	A
USGS	12043300	1962-08-03	40.0	A
USGS	12043300	1962-08-04	40.0	A
USGS	12043300	1962-08-05	60.0	A
USGS	12043300	1962-08-06	88.0	A
USGS	12043300	1962-08-07	120	A
USGS	12043300	1962-08-08	96.0	A
USGS	12043300	1962-08-09	67.0	A
USGS	12043300	1962-08-10	58.0	A
USGS	12043300	1962-08-11	51.0	A
USGS	12043300	1962-08-12	54.0	A
USGS	12043300	1962-08-13	50.0	A
USGS	12043300	1962-08-14	43.0	A
USGS	12043300	1962-08-15	40.0	A
USGS	12043300	1962-08-16	44.0	A
USGS	12043300	1962-08-17	73.0	A
USGS	12043300	1962-08-18	96.0	A
USGS	12043300	1962-08-19	98.0	A
USGS	12043300	1962-08-20	129	A
USGS	12043300	1962-08-21	148	A
USGS	12043300	1962-08-22	105	A
USGS	12043300	1962-08-23	83.0	A
USGS	12043300	1962-08-24	73.0	A
USGS	12043300	1962-08-25	65.0	A
USGS	12043300	1962-08-26	60.0	A
USGS	12043300	1962-08-27	56.0	A
USGS	12043300	1962-08-28	61.0	A
USGS	12043300	1962-08-29	55.0	A
USGS	12043300	1962-08-30	50.0	A
USGS	12043300	1962-08-31	46.0	A
USGS	12043300	1962-09-01	44.0	A
USGS	12043300	1962-09-02	43.0	A
USGS	12043300	1962-09-03	40.0	A
USGS	12043300	1962-09-04	38.0	A
USGS	12043300	1962-09-05	36.0	A
USGS	12043300	1962-09-06	35.0	A
USGS	12043300	1962-09-07	34.0	A
USGS	12043300	1962-09-08	32.0	A
USGS	12043300	1962-09-09	31.0	A
USGS	12043300	1962-09-10	62.0	A
USGS	12043300	1962-09-11	59.0	A
USGS	12043300	1962-09-12	43.0	A
USGS	12043300	1962-09-13	132	A
USGS	12043300	1962-09-14	181	A
USGS	12043300	1962-09-15	105	A
USGS	12043300	1962-09-16	80.0	A
USGS	12043300	1962-09-17	69.0	A
USGS	12043300	1962-09-18	60.0	A
USGS	12043300	1962-09-19	55.0	A
USGS	12043300	1962-09-20	52.0	A
USGS	12043300	1962-09-21	48.0	A
USGS	12043300	1962-09-22	46.0	A
USGS	12043300	1962-09-23	45.0	A
USGS	12043300	1962-09-24	42.0	A
USGS	12043300	1962-09-25	40.0	A
USGS	12043300	1962-09-26	40.0	A
USGS	12043300	1962-09-27	44.0	A
USGS	12043300	1962-09-28	145	A
USGS	12043300	1962-09-29	249	A
USGS	12043300	1962-09-30	148	A
USGS	12043300	1962-10-01	109	A
USGS	12043300	1962-10-02	91.0	A
USGS	12043300	1962-10-03	158	A
USGS	12043300	1962-10-04	181	A
USGS	12043300	1962-10-05	137	A
USGS	12043300	1962-10-06	127	A
USGS	12043300	1962-10-07	150	A
USGS	12043300	1962-10-08	335	A
USGS	12043300	1962-10-09	543	A
USGS	12043300	1962-10-10	407	A
USGS	12043300	1962-10-11	327	A
USGS	12043300	1962-10-12	910	A
USGS	12043300	1962-10-13	1770	A
USGS	12043300	1962-10-14	820	A
USGS	12043300	1962-10-15	498	A
USGS	12043300	1962-10-16	349	A
USGS	12043300	1962-10-17	274	A
USGS	12043300	1962-10-18	240	A
USGS	12043300	1962-10-19	210	A
USGS	12043300	1962-10-20	213	A
USGS	12043300	1962-10-21	364	A
USGS	12043300	1962-10-22	431	A
USGS	12043300	1962-10-23	317	A
USGS	12043300	1962-10-24	255	A
USGS	12043300	1962-10-25	218	A
USGS	12043300	1962-10-26	216	A
USGS	12043300	1962-10-27	188	A
USGS	12043300	1962-10-28	167	A
USGS	12043300	1962-10-29	139	A
USGS	12043300	1962-10-30	137	A
USGS	12043300	1962-10-31	127	A
USGS	12043300	1962-11-01	120	A
USGS	12043300	1962-11-02	110	A
USGS	12043300	1962-11-03	105	A
USGS	12043300	1962-11-04	204	A
USGS	12043300	1962-11-05	507	A
USGS	12043300	1962-11-06	453	A
USGS	12043300	1962-11-07	407	A
USGS	12043300	1962-11-08	778	A
USGS	12043300	1962-11-09	512	A
USGS	12043300	1962-11-10	512	A
