# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-03-07 12:08:21 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12213100 NOOKSACK RIVER AT FERNDALE, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12213100
#            TS   parameter     statistic     Description
#        149551       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	149551_00060_00003	149551_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12213100	1966-10-01	1180	A
USGS	12213100	1966-10-02	1950	A
USGS	12213100	1966-10-03	1500	A
USGS	12213100	1966-10-04	1280	A
USGS	12213100	1966-10-05	1200	A
USGS	12213100	1966-10-06	1180	A
USGS	12213100	1966-10-07	1400	A
USGS	12213100	1966-10-08	2300	A
USGS	12213100	1966-10-09	1700	A
USGS	12213100	1966-10-10	1300	A
USGS	12213100	1966-10-11	1140	A
USGS	12213100	1966-10-12	1020	A
USGS	12213100	1966-10-13	940	A
USGS	12213100	1966-10-14	870	A
USGS	12213100	1966-10-15	820	A
USGS	12213100	1966-10-16	800	A
USGS	12213100	1966-10-17	800	A
USGS	12213100	1966-10-18	800	A
USGS	12213100	1966-10-19	3200	A
USGS	12213100	1966-10-20	9500	A
USGS	12213100	1966-10-21	4000	A
USGS	12213100	1966-10-22	3500	A
USGS	12213100	1966-10-23	8400	A
USGS	12213100	1966-10-24	9700	A
USGS	12213100	1966-10-25	6000	A
USGS	12213100	1966-10-26	5000	A
USGS	12213100	1966-10-27	4500	A
USGS	12213100	1966-10-28	3400	A
USGS	12213100	1966-10-29	3100	A
USGS	12213100	1966-10-30	3750	A
USGS	12213100	1966-10-31	2700	A
USGS	12213100	1966-11-01	2350	A
USGS	12213100	1966-11-02	2100	A
USGS	12213100	1966-11-03	2000	A
USGS	12213100	1966-11-04	1800	A
USGS	12213100	1966-11-05	2000	A
USGS	12213100	1966-11-06	2400	A
USGS	12213100	1966-11-07	1900	A
USGS	12213100	1966-11-08	1750	A
USGS	12213100	1966-11-09	1700	A
USGS	12213100	1966-11-10	2000	A
USGS	12213100	1966-11-11	1700	A
USGS	12213100	1966-11-12	2700	A
USGS	12213100	1966-11-13	2600	A
USGS	12213100	1966-11-14	7200	A
USGS	12213100	1966-11-15	5700	A
USGS	12213100	1966-11-16	4600	A
USGS	12213100	1966-11-17	3740	A
USGS	12213100	1966-11-18	3130	A
USGS	12213100	1966-11-19	2870	A
USGS	12213100	1966-11-20	3590	A
USGS	12213100	1966-11-21	2920	A
USGS	12213100	1966-11-22	2730	A
USGS	12213100	1966-11-23	2630	A
USGS	12213100	1966-11-24	2490	A
USGS	12213100	1966-11-25	4370	A
USGS	12213100	1966-11-26	5910	A
USGS	12213100	1966-11-27	4020	A
USGS	12213100	1966-11-28	4900	A
USGS	12213100	1966-11-29	5850	A
USGS	12213100	1966-11-30	6720	A
USGS	12213100	1966-12-01	10600	A
USGS	12213100	1966-12-02	9120	A
USGS	12213100	1966-12-03	6960	A
USGS	12213100	1966-12-04	5690	A
USGS	12213100	1966-12-05	5520	A
USGS	12213100	1966-12-06	4940	A
USGS	12213100	1966-12-07	5100	A
USGS	12213100	1966-12-08	4200	A
USGS	12213100	1966-12-09	3500	A
