# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-03-07 11:53:22 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12058790 NF SKOKOMISH R NR LWR CUSHMAN DAM NR POTLATCH, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12058790
#            TS   parameter     statistic     Description
#        148581       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	148581_00060_00003	148581_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12058790	2008-09-30	98.2	A
USGS	12058790	2008-10-01	115	A
USGS	12058790	2008-10-02	169	A
USGS	12058790	2008-10-03	210	A
USGS	12058790	2008-10-04	210	A
USGS	12058790	2008-10-05	210	A
USGS	12058790	2008-10-06	210	A
USGS	12058790	2008-10-07	210	A
USGS	12058790	2008-10-08	210	A
USGS	12058790	2008-10-09	232	A
USGS	12058790	2008-10-10	248	A
USGS	12058790	2008-10-11	248	A
USGS	12058790	2008-10-12	248	A
USGS	12058790	2008-10-13	249	A
USGS	12058790	2008-10-14	248	A
USGS	12058790	2008-10-15	249	A
USGS	12058790	2008-10-16	250	A
USGS	12058790	2008-10-17	251	A
USGS	12058790	2008-10-18	251	A
USGS	12058790	2008-10-19	252	A
USGS	12058790	2008-10-20	252	A
USGS	12058790	2008-10-21	251	A
USGS	12058790	2008-10-22	252	A
USGS	12058790	2008-10-23	252	A
USGS	12058790	2008-10-24	252	A
USGS	12058790	2008-10-25	251	A
USGS	12058790	2008-10-26	251	A
USGS	12058790	2008-10-27	251	A
USGS	12058790	2008-10-28	251	A
USGS	12058790	2008-10-29	252	A
USGS	12058790	2008-10-30	248	A
USGS	12058790	2008-10-31	244	A
USGS	12058790	2008-11-01	244	A
USGS	12058790	2008-11-02	245	A
USGS	12058790	2008-11-03	244	A
USGS	12058790	2008-11-04	244	A
USGS	12058790	2008-11-05	244	A
USGS	12058790	2008-11-06	246	A
USGS	12058790	2008-11-07	248	A
USGS	12058790	2008-11-08	248	A
USGS	12058790	2008-11-09	247	A
USGS	12058790	2008-11-10	248	A
USGS	12058790	2008-11-11	250	A
USGS	12058790	2008-11-12	252	A
USGS	12058790	2008-11-13	252	A
USGS	12058790	2008-11-14	251	A
USGS	12058790	2008-11-15	251	A:e
USGS	12058790	2008-11-16	250	A:e
USGS	12058790	2008-11-17	250	A:e
USGS	12058790	2008-11-18	250	A
USGS	12058790	2008-11-19	252	A
USGS	12058790	2008-11-20	251	A
USGS	12058790	2008-11-21	250	A
USGS	12058790	2008-11-22	250	A
USGS	12058790	2008-11-23	250	A
USGS	12058790	2008-11-24	250	A
USGS	12058790	2008-11-25	250	A
USGS	12058790	2008-11-26	250	A
USGS	12058790	2008-11-27	250	A
USGS	12058790	2008-11-28	249	A
USGS	12058790	2008-11-29	250	A
USGS	12058790	2008-11-30	250	A
USGS	12058790	2008-12-01	250	A
USGS	12058790	2008-12-02	249	A
USGS	12058790	2008-12-03	250	A
USGS	12058790	2008-12-04	250	A
USGS	12058790	2008-12-05	249	A
USGS	12058790	2008-12-06	249	A
USGS	12058790	2008-12-07	249	A
USGS	12058790	2008-12-08	249	A
USGS	12058790	2008-12-09	249	A
USGS	12058790	2008-12-10	249	A
USGS	12058790	2008-12-11	249	A
USGS	12058790	2008-12-12	250	A
USGS	12058790	2008-12-13	249	A
USGS	12058790	2008-12-14	249	A
USGS	12058790	2008-12-15	248	A
USGS	12058790	2008-12-16	248	A
USGS	12058790	2008-12-17	248	A
USGS	12058790	2008-12-18	248	A
USGS	12058790	2008-12-19	249	A
USGS	12058790	2008-12-20	248	A
USGS	12058790	2008-12-21	248	A
USGS	12058790	2008-12-22	248	A
USGS	12058790	2008-12-23	248	A
USGS	12058790	2008-12-24	250	A
USGS	12058790	2008-12-25	251	A
USGS	12058790	2008-12-26	251	A
USGS	12058790	2008-12-27	250	A
USGS	12058790	2008-12-28	251	A
USGS	12058790	2008-12-29	250	A
USGS	12058790	2008-12-30	251	A
USGS	12058790	2008-12-31	251	A
USGS	12058790	2009-01-01	251	A
USGS	12058790	2009-01-02	251	A
USGS	12058790	2009-01-03	251	A
USGS	12058790	2009-01-04	251	A
USGS	12058790	2009-01-05	251	A
USGS	12058790	2009-01-06	250	A
USGS	12058790	2009-01-07	255	A
USGS	12058790	2009-01-08	255	A
USGS	12058790	2009-01-09	252	A
USGS	12058790	2009-01-10	252	A
USGS	12058790	2009-01-11	252	A
USGS	12058790	2009-01-12	251	A
USGS	12058790	2009-01-13	251	A
USGS	12058790	2009-01-14	251	A
USGS	12058790	2009-01-15	251	A
USGS	12058790	2009-01-16	251	A
USGS	12058790	2009-01-17	250	A
USGS	12058790	2009-01-18	250	A
USGS	12058790	2009-01-19	250	A
USGS	12058790	2009-01-20	250	A
USGS	12058790	2009-01-21	250	A
USGS	12058790	2009-01-22	250	A
USGS	12058790	2009-01-23	250	A
USGS	12058790	2009-01-24	250	A
USGS	12058790	2009-01-25	250	A
USGS	12058790	2009-01-26	250	A
USGS	12058790	2009-01-27	250	A
USGS	12058790	2009-01-28	249	A
USGS	12058790	2009-01-29	250	A
USGS	12058790	2009-01-30	250	A
USGS	12058790	2009-01-31	250	A
USGS	12058790	2009-02-01	250	A
USGS	12058790	2009-02-02	250	A
USGS	12058790	2009-02-03	251	A
USGS	12058790	2009-02-04	250	A
USGS	12058790	2009-02-05	250	A
USGS	12058790	2009-02-06	250	A
USGS	12058790	2009-02-07	250	A
USGS	12058790	2009-02-08	250	A
USGS	12058790	2009-02-09	250	A
USGS	12058790	2009-02-10	250	A
USGS	12058790	2009-02-11	249	A
USGS	12058790	2009-02-12	249	A
USGS	12058790	2009-02-13	249	A
USGS	12058790	2009-02-14	250	A
USGS	12058790	2009-02-15	249	A
USGS	12058790	2009-02-16	250	A
USGS	12058790	2009-02-17	250	A
USGS	12058790	2009-02-18	249	A
USGS	12058790	2009-02-19	249	A
USGS	12058790	2009-02-20	250	A
USGS	12058790	2009-02-21	250	A
USGS	12058790	2009-02-22	249	A
USGS	12058790	2009-02-23	249	A
USGS	12058790	2009-02-24	251	A
USGS	12058790	2009-02-25	250	A
USGS	12058790	2009-02-26	250	A
USGS	12058790	2009-02-27	250	A
USGS	12058790	2009-02-28	250	A
USGS	12058790	2009-03-01	250	A
USGS	12058790	2009-03-02	251	A
USGS	12058790	2009-03-03	250	A
USGS	12058790	2009-03-04	250	A
USGS	12058790	2009-03-05	250	A
USGS	12058790	2009-03-06	249	A
USGS	12058790	2009-03-07	250	A
USGS	12058790	2009-03-08	249	A
USGS	12058790	2009-03-09	250	A
USGS	12058790	2009-03-10	249	A
USGS	12058790	2009-03-11	249	A
USGS	12058790	2009-03-12	250	A
USGS	12058790	2009-03-13	250	A
USGS	12058790	2009-03-14	250	A
USGS	12058790	2009-03-15	249	A
USGS	12058790	2009-03-16	249	A
USGS	12058790	2009-03-17	250	A
USGS	12058790	2009-03-18	250	A
USGS	12058790	2009-03-19	250	A
USGS	12058790	2009-03-20	250	A
USGS	12058790	2009-03-21	250	A
USGS	12058790	2009-03-22	250	A
USGS	12058790	2009-03-23	250	A
USGS	12058790	2009-03-24	249	A
USGS	12058790	2009-03-25	250	A
USGS	12058790	2009-03-26	249	A
USGS	12058790	2009-03-27	250	A
USGS	12058790	2009-03-28	250	A
USGS	12058790	2009-03-29	250	A
USGS	12058790	2009-03-30	249	A
USGS	12058790	2009-03-31	249	A
USGS	12058790	2009-04-01	249	A
USGS	12058790	2009-04-02	249	A
USGS	12058790	2009-04-03	250	A
USGS	12058790	2009-04-04	250	A
USGS	12058790	2009-04-05	249	A
USGS	12058790	2009-04-06	250	A
USGS	12058790	2009-04-07	249	A
USGS	12058790	2009-04-08	243	A
USGS	12058790	2009-04-09	244	A
USGS	12058790	2009-04-10	243	A
USGS	12058790	2009-04-11	244	A
USGS	12058790	2009-04-12	245	A
USGS	12058790	2009-04-13	244	A
USGS	12058790	2009-04-14	245	A
USGS	12058790	2009-04-15	244	A
USGS	12058790	2009-04-16	245	A
USGS	12058790	2009-04-17	245	A
USGS	12058790	2009-04-18	245	A
USGS	12058790	2009-04-19	245	A
USGS	12058790	2009-04-20	245	A
USGS	12058790	2009-04-21	245	A
USGS	12058790	2009-04-22	245	A
USGS	12058790	2009-04-23	245	A
USGS	12058790	2009-04-24	245	A
USGS	12058790	2009-04-25	245	A
USGS	12058790	2009-04-26	245	A
USGS	12058790	2009-04-27	245	A
USGS	12058790	2009-04-28	245	A
USGS	12058790	2009-04-29	245	A
USGS	12058790	2009-04-30	245	A
USGS	12058790	2009-05-01	245	A
USGS	12058790	2009-05-02	244	A
USGS	12058790	2009-05-03	244	A
USGS	12058790	2009-05-04	244	A
USGS	12058790	2009-05-05	245	A
USGS	12058790	2009-05-06	245	A
USGS	12058790	2009-05-07	245	A
USGS	12058790	2009-05-08	245	A
USGS	12058790	2009-05-09	245	A
USGS	12058790	2009-05-10	244	A
USGS	12058790	2009-05-11	244	A
USGS	12058790	2009-05-12	245	A
USGS	12058790	2009-05-13	244	A
USGS	12058790	2009-05-14	244	A
USGS	12058790	2009-05-15	245	A
USGS	12058790	2009-05-16	245	A
USGS	12058790	2009-05-17	245	A
USGS	12058790	2009-05-18	245	A
USGS	12058790	2009-05-19	244	A
USGS	12058790	2009-05-20	244	A
USGS	12058790	2009-05-21	245	A
USGS	12058790	2009-05-22	244	A
USGS	12058790	2009-05-23	245	A
USGS	12058790	2009-05-24	244	A
USGS	12058790	2009-05-25	245	A
USGS	12058790	2009-05-26	244	A
USGS	12058790	2009-05-27	244	A
USGS	12058790	2009-05-28	245	A
USGS	12058790	2009-05-29	245	A
USGS	12058790	2009-05-30	245	A
USGS	12058790	2009-05-31	244	A
USGS	12058790	2009-06-01	245	A
USGS	12058790	2009-06-02	244	A
USGS	12058790	2009-06-03	244	A
USGS	12058790	2009-06-04	244	A
USGS	12058790	2009-06-05	244	A
USGS	12058790	2009-06-06	244	A
USGS	12058790	2009-06-07	244	A
USGS	12058790	2009-06-08	244	A
USGS	12058790	2009-06-09	244	A
USGS	12058790	2009-06-10	244	A
USGS	12058790	2009-06-11	245	A
USGS	12058790	2009-06-12	245	A
USGS	12058790	2009-06-13	244	A
USGS	12058790	2009-06-14	244	A
USGS	12058790	2009-06-15	245	A
USGS	12058790	2009-06-16	244	A
USGS	12058790	2009-06-17	244	A
USGS	12058790	2009-06-18	244	A
USGS	12058790	2009-06-19	245	A
USGS	12058790	2009-06-20	244	A
USGS	12058790	2009-06-21	245	A
USGS	12058790	2009-06-22	245	A
USGS	12058790	2009-06-23	245	A
USGS	12058790	2009-06-24	244	A
USGS	12058790	2009-06-25	244	A
USGS	12058790	2009-06-26	244	A
USGS	12058790	2009-06-27	245	A
USGS	12058790	2009-06-28	244	A
USGS	12058790	2009-06-29	244	A
USGS	12058790	2009-06-30	245	A
USGS	12058790	2009-07-01	245	A
USGS	12058790	2009-07-02	245	A
USGS	12058790	2009-07-03	245	A
USGS	12058790	2009-07-04	245	A
USGS	12058790	2009-07-05	245	A
USGS	12058790	2009-07-06	244	A
USGS	12058790	2009-07-07	244	A
USGS	12058790	2009-07-08	244	A
USGS	12058790	2009-07-09	233	A
USGS	12058790	2009-07-10	228	A
USGS	12058790	2009-07-11	228	A
USGS	12058790	2009-07-12	227	A
USGS	12058790	2009-07-13	227	A
USGS	12058790	2009-07-14	227	A
USGS	12058790	2009-07-15	228	A
USGS	12058790	2009-07-16	211	A
USGS	12058790	2009-07-17	201	A
USGS	12058790	2009-07-18	202	A
USGS	12058790	2009-07-19	201	A
USGS	12058790	2009-07-20	202	A
USGS	12058790	2009-07-21	202	A
USGS	12058790	2009-07-22	202	A
USGS	12058790	2009-07-23	164	A
USGS	12058790	2009-07-24	132	A
USGS	12058790	2009-07-25	132	A
USGS	12058790	2009-07-26	132	A
USGS	12058790	2009-07-27	132	A
USGS	12058790	2009-07-28	133	A
USGS	12058790	2009-07-29	133	A
USGS	12058790	2009-07-30	124	A
USGS	12058790	2009-07-31	117	A
USGS	12058790	2009-08-01	117	A
USGS	12058790	2009-08-02	116	A
USGS	12058790	2009-08-03	116	A
USGS	12058790	2009-08-04	116	A
USGS	12058790	2009-08-05	116	A
USGS	12058790	2009-08-06	116	A
USGS	12058790	2009-08-07	116	A
USGS	12058790	2009-08-08	116	A
USGS	12058790	2009-08-09	116	A
USGS	12058790	2009-08-10	116	A
USGS	12058790	2009-08-11	116	A
USGS	12058790	2009-08-12	116	A
USGS	12058790	2009-08-13	101	A
USGS	12058790	2009-08-14	87.4	A
USGS	12058790	2009-08-15	86.4	A
USGS	12058790	2009-08-16	86.7	A
USGS	12058790	2009-08-17	86.7	A
USGS	12058790	2009-08-18	86.4	A
USGS	12058790	2009-08-19	86.3	A
USGS	12058790	2009-08-20	81.1	A
USGS	12058790	2009-08-21	78.0	A
USGS	12058790	2009-08-22	77.9	A
USGS	12058790	2009-08-23	77.8	A
USGS	12058790	2009-08-24	77.9	A
USGS	12058790	2009-08-25	78.8	A
USGS	12058790	2009-08-26	78.7	A
USGS	12058790	2009-08-27	70.9	A
USGS	12058790	2009-08-28	65.3	A
USGS	12058790	2009-08-29	65.4	A
USGS	12058790	2009-08-30	65.4	A
USGS	12058790	2009-08-31	65.3	A
USGS	12058790	2009-09-01	65.2	A
USGS	12058790	2009-09-02	65.5	A
USGS	12058790	2009-09-03	62.2	A
USGS	12058790	2009-09-04	60.2	A
USGS	12058790	2009-09-05	60.3	A
USGS	12058790	2009-09-06	60.4	A
USGS	12058790	2009-09-07	60.3	A
USGS	12058790	2009-09-08	60.4	A
USGS	12058790	2009-09-09	60.4	A
USGS	12058790	2009-09-10	153	A
USGS	12058790	2009-09-11	232	A
USGS	12058790	2009-09-12	234	A
USGS	12058790	2009-09-13	234	A
USGS	12058790	2009-09-14	234	A
USGS	12058790	2009-09-15	231	A
USGS	12058790	2009-09-16	231	A
USGS	12058790	2009-09-17	161	A
USGS	12058790	2009-09-18	99.2	A
USGS	12058790	2009-09-19	99.5	A
USGS	12058790	2009-09-20	99.8	A
USGS	12058790	2009-09-21	101	A
USGS	12058790	2009-09-22	99.3	A
USGS	12058790	2009-09-23	98.6	A
USGS	12058790	2009-09-24	79.7	A
USGS	12058790	2009-09-25	64.9	A
USGS	12058790	2009-09-26	64.5	A
USGS	12058790	2009-09-27	64.5	A
USGS	12058790	2009-09-28	64.5	A
USGS	12058790	2009-09-29	64.5	A
USGS	12058790	2009-09-30	64.7	A
USGS	12058790	2009-10-01	79.5	A
USGS	12058790	2009-10-02	89.7	A
USGS	12058790	2009-10-03	89.9	A
USGS	12058790	2009-10-04	89.5	A
USGS	12058790	2009-10-05	89.7	A
USGS	12058790	2009-10-06	89.6	A
USGS	12058790	2009-10-07	89.8	A
USGS	12058790	2009-10-08	74.2	A
USGS	12058790	2009-10-09	62.4	A
USGS	12058790	2009-10-10	63.2	A
USGS	12058790	2009-10-11	63.3	A
USGS	12058790	2009-10-12	63.5	A
USGS	12058790	2009-10-13	63.5	A
USGS	12058790	2009-10-14	64.3	A
USGS	12058790	2009-10-15	112	A
USGS	12058790	2009-10-16	150	A
USGS	12058790	2009-10-17	149	A
USGS	12058790	2009-10-18	149	A
USGS	12058790	2009-10-19	149	A
USGS	12058790	2009-10-20	149	A
USGS	12058790	2009-10-21	149	A
USGS	12058790	2009-10-22	192	A
USGS	12058790	2009-10-23	238	A
USGS	12058790	2009-10-24	238	A
USGS	12058790	2009-10-25	237	A
USGS	12058790	2009-10-26	238	A
USGS	12058790	2009-10-27	238	A
USGS	12058790	2009-10-28	239	A
USGS	12058790	2009-10-29	239	A
USGS	12058790	2009-10-30	241	A
USGS	12058790	2009-10-31	242	A
USGS	12058790	2009-11-01	241	A
USGS	12058790	2009-11-02	241	A
USGS	12058790	2009-11-03	241	A
USGS	12058790	2009-11-04	241	A
USGS	12058790	2009-11-05	242	A
USGS	12058790	2009-11-06	242	A
USGS	12058790	2009-11-07	242	A
USGS	12058790	2009-11-08	242	A
USGS	12058790	2009-11-09	243	A
USGS	12058790	2009-11-10	243	A
USGS	12058790	2009-11-11	243	A
USGS	12058790	2009-11-12	243	A
USGS	12058790	2009-11-13	243	A
USGS	12058790	2009-11-14	243	A
USGS	12058790	2009-11-15	246	A
USGS	12058790	2009-11-16	251	A
USGS	12058790	2009-11-17	249	A
USGS	12058790	2009-11-18	247	A
USGS	12058790	2009-11-19	253	A
USGS	12058790	2009-11-20	249	A
USGS	12058790	2009-11-21	1250	A
USGS	12058790	2009-11-22	2130	A
USGS	12058790	2009-11-23	1120	A
USGS	12058790	2009-11-24	251	A
USGS	12058790	2009-11-25	246	A
USGS	12058790	2009-11-26	247	A
USGS	12058790	2009-11-27	247	A
USGS	12058790	2009-11-28	246	A
USGS	12058790	2009-11-29	246	A
USGS	12058790	2009-11-30	246	A
USGS	12058790	2009-12-01	248	A
USGS	12058790	2009-12-02	248	A
USGS	12058790	2009-12-03	248	A
USGS	12058790	2009-12-04	247	A
USGS	12058790	2009-12-05	247	A
USGS	12058790	2009-12-06	246	A
USGS	12058790	2009-12-07	247	A
USGS	12058790	2009-12-08	247	A
USGS	12058790	2009-12-09	246	A
USGS	12058790	2009-12-10	246	A
USGS	12058790	2009-12-11	247	A
USGS	12058790	2009-12-12	245	A
USGS	12058790	2009-12-13	245	A
USGS	12058790	2009-12-14	245	A
USGS	12058790	2009-12-15	246	A
USGS	12058790	2009-12-16	246	A
USGS	12058790	2009-12-17	246	A
USGS	12058790	2009-12-18	245	A
USGS	12058790	2009-12-19	246	A
USGS	12058790	2009-12-20	246	A
USGS	12058790	2009-12-21	246	A
USGS	12058790	2009-12-22	246	A
USGS	12058790	2009-12-23	246	A
USGS	12058790	2009-12-24	245	A
USGS	12058790	2009-12-25	246	A
USGS	12058790	2009-12-26	245	A
USGS	12058790	2009-12-27	245	A
USGS	12058790	2009-12-28	245	A
USGS	12058790	2009-12-29	245	A
USGS	12058790	2009-12-30	245	A
USGS	12058790	2009-12-31	245	A
USGS	12058790	2010-01-01	247	A
USGS	12058790	2010-01-02	246	A
USGS	12058790	2010-01-03	246	A
USGS	12058790	2010-01-04	247	A
USGS	12058790	2010-01-05	246	A
USGS	12058790	2010-01-06	245	A
USGS	12058790	2010-01-07	246	A
USGS	12058790	2010-01-08	246	A
USGS	12058790	2010-01-09	244	A
USGS	12058790	2010-01-10	244	A
USGS	12058790	2010-01-11	245	A
USGS	12058790	2010-01-12	246	A
USGS	12058790	2010-01-13	245	A
USGS	12058790	2010-01-14	246	A
USGS	12058790	2010-01-15	247	A
USGS	12058790	2010-01-16	245	A
USGS	12058790	2010-01-17	245	A
USGS	12058790	2010-01-18	245	A
USGS	12058790	2010-01-19	244	A
USGS	12058790	2010-01-20	833	A
USGS	12058790	2010-01-21	1360	A
USGS	12058790	2010-01-22	709	A
USGS	12058790	2010-01-23	250	A
USGS	12058790	2010-01-24	250	A
USGS	12058790	2010-01-25	246	A
USGS	12058790	2010-01-26	243	A
USGS	12058790	2010-01-27	243	A
USGS	12058790	2010-01-28	243	A
USGS	12058790	2010-01-29	243	A
USGS	12058790	2010-01-30	243	A
USGS	12058790	2010-01-31	243	A
USGS	12058790	2010-02-01	243	A
USGS	12058790	2010-02-02	243	A
USGS	12058790	2010-02-03	243	A
USGS	12058790	2010-02-04	244	A
USGS	12058790	2010-02-05	244	A
USGS	12058790	2010-02-06	243	A
USGS	12058790	2010-02-07	243	A
USGS	12058790	2010-02-08	243	A
USGS	12058790	2010-02-09	243	A
USGS	12058790	2010-02-10	243	A
USGS	12058790	2010-02-11	243	A
USGS	12058790	2010-02-12	244	A
USGS	12058790	2010-02-13	245	A
USGS	12058790	2010-02-14	245	A
USGS	12058790	2010-02-15	244	A
USGS	12058790	2010-02-16	244	A
USGS	12058790	2010-02-17	244	A
USGS	12058790	2010-02-18	243	A
USGS	12058790	2010-02-19	243	A
USGS	12058790	2010-02-20	242	A
USGS	12058790	2010-02-21	242	A
USGS	12058790	2010-02-22	242	A
USGS	12058790	2010-02-23	242	A
USGS	12058790	2010-02-24	242	A
USGS	12058790	2010-02-25	242	A
USGS	12058790	2010-02-26	244	A
USGS	12058790	2010-02-27	244	A
USGS	12058790	2010-02-28	243	A
USGS	12058790	2010-03-01	243	A
USGS	12058790	2010-03-02	243	A
USGS	12058790	2010-03-03	243	A
USGS	12058790	2010-03-04	243	A
USGS	12058790	2010-03-05	243	A
USGS	12058790	2010-03-06	243	A
USGS	12058790	2010-03-07	243	A
USGS	12058790	2010-03-08	242	A
USGS	12058790	2010-03-09	243	A
USGS	12058790	2010-03-10	243	A
USGS	12058790	2010-03-11	244	A
USGS	12058790	2010-03-12	247	A
USGS	12058790	2010-03-13	246	A
USGS	12058790	2010-03-14	246	A
USGS	12058790	2010-03-15	248	A
USGS	12058790	2010-03-16	246	A
USGS	12058790	2010-03-17	244	A
USGS	12058790	2010-03-18	245	A
USGS	12058790	2010-03-19	245	A
USGS	12058790	2010-03-20	247	A
USGS	12058790	2010-03-21	248	A
USGS	12058790	2010-03-22	247	A
USGS	12058790	2010-03-23	247	A
USGS	12058790	2010-03-24	247	A
USGS	12058790	2010-03-25	247	A
USGS	12058790	2010-03-26	247	A
USGS	12058790	2010-03-27	247	A
USGS	12058790	2010-03-28	247	A
USGS	12058790	2010-03-29	248	A
USGS	12058790	2010-03-30	248	A
USGS	12058790	2010-03-31	248	A
USGS	12058790	2010-04-01	249	A
USGS	12058790	2010-04-02	250	A
USGS	12058790	2010-04-03	249	A
USGS	12058790	2010-04-04	249	A
USGS	12058790	2010-04-05	248	A
USGS	12058790	2010-04-06	249	A
USGS	12058790	2010-04-07	249	A
USGS	12058790	2010-04-08	249	A
USGS	12058790	2010-04-09	248	A
USGS	12058790	2010-04-10	248	A
USGS	12058790	2010-04-11	249	A
USGS	12058790	2010-04-12	248	A
USGS	12058790	2010-04-13	248	A
USGS	12058790	2010-04-14	248	A
USGS	12058790	2010-04-15	248	A
USGS	12058790	2010-04-16	249	A
USGS	12058790	2010-04-17	249	A
USGS	12058790	2010-04-18	248	A
USGS	12058790	2010-04-19	248	A
USGS	12058790	2010-04-20	248	A
USGS	12058790	2010-04-21	248	A
USGS	12058790	2010-04-22	249	A
USGS	12058790	2010-04-23	248	A
USGS	12058790	2010-04-24	248	A
USGS	12058790	2010-04-25	248	A
USGS	12058790	2010-04-26	248	A
USGS	12058790	2010-04-27	249	A
USGS	12058790	2010-04-28	248	A
USGS	12058790	2010-04-29	248	A
USGS	12058790	2010-04-30	248	A
USGS	12058790	2010-05-01	249	A
USGS	12058790	2010-05-02	248	A
USGS	12058790	2010-05-03	248	A
USGS	12058790	2010-05-04	248	A
USGS	12058790	2010-05-05	248	A
USGS	12058790	2010-05-06	248	A
USGS	12058790	2010-05-07	248	A
USGS	12058790	2010-05-08	249	A
USGS	12058790	2010-05-09	249	A
USGS	12058790	2010-05-10	248	A
USGS	12058790	2010-05-11	248	A
USGS	12058790	2010-05-12	248	A
USGS	12058790	2010-05-13	248	A
USGS	12058790	2010-05-14	247	A
USGS	12058790	2010-05-15	248	A
USGS	12058790	2010-05-16	247	A
USGS	12058790	2010-05-17	248	A
USGS	12058790	2010-05-18	248	A
USGS	12058790	2010-05-19	248	A
USGS	12058790	2010-05-20	248	A
USGS	12058790	2010-05-21	248	A
USGS	12058790	2010-05-22	248	A
USGS	12058790	2010-05-23	248	A
USGS	12058790	2010-05-24	248	A
USGS	12058790	2010-05-25	248	A
USGS	12058790	2010-05-26	247	A
USGS	12058790	2010-05-27	247	A
USGS	12058790	2010-05-28	248	A
USGS	12058790	2010-05-29	248	A
USGS	12058790	2010-05-30	248	A
USGS	12058790	2010-05-31	248	A
USGS	12058790	2010-06-01	248	A
USGS	12058790	2010-06-02	248	A
USGS	12058790	2010-06-03	248	A
USGS	12058790	2010-06-04	248	A
USGS	12058790	2010-06-05	247	A
USGS	12058790	2010-06-06	247	A
USGS	12058790	2010-06-07	248	A
USGS	12058790	2010-06-08	247	A
USGS	12058790	2010-06-09	247	A
USGS	12058790	2010-06-10	248	A
USGS	12058790	2010-06-11	248	A
USGS	12058790	2010-06-12	248	A
USGS	12058790	2010-06-13	247	A
USGS	12058790	2010-06-14	248	A
USGS	12058790	2010-06-15	247	A
USGS	12058790	2010-06-16	247	A
USGS	12058790	2010-06-17	247	A
USGS	12058790	2010-06-18	247	A
USGS	12058790	2010-06-19	248	A
USGS	12058790	2010-06-20	247	A
USGS	12058790	2010-06-21	247	A
USGS	12058790	2010-06-22	248	A
USGS	12058790	2010-06-23	247	A
USGS	12058790	2010-06-24	247	A
USGS	12058790	2010-06-25	247	A
USGS	12058790	2010-06-26	247	A
