agency_cd	site_no	datetime	149018_00060_00003	149018_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12119000	1945-09-01	137	A
USGS	12119000	1945-09-02	140	A
USGS	12119000	1945-09-03	146	A
USGS	12119000	1945-09-04	264	A
USGS	12119000	1945-09-05	299	A
USGS	12119000	1945-09-06	219	A
USGS	12119000	1945-09-07	190	A
USGS	12119000	1945-09-08	177	A
USGS	12119000	1945-09-09	161	A
USGS	12119000	1945-09-10	152	A
USGS	12119000	1945-09-11	140	A
USGS	12119000	1945-09-12	119	A
USGS	12119000	1945-09-13	109	A
USGS	12119000	1945-09-14	107	A
USGS	12119000	1945-09-15	132	A
USGS	12119000	1945-09-16	180	A
USGS	12119000	1945-09-17	171	A
USGS	12119000	1945-09-18	180	A
USGS	12119000	1945-09-19	177	A
USGS	12119000	1945-09-20	589	A
USGS	12119000	1945-09-21	588	A
USGS	12119000	1945-09-22	356	A
USGS	12119000	1945-09-23	258	A
USGS	12119000	1945-09-24	254	A
USGS	12119000	1945-09-25	454	A
USGS	12119000	1945-09-26	623	A
USGS	12119000	1945-09-27	366	A
USGS	12119000	1945-09-28	303	A
USGS	12119000	1945-09-29	254	A
USGS	12119000	1945-09-30	262	A
USGS	12119000	1945-10-01	246	A
USGS	12119000	1945-10-02	231	A
USGS	12119000	1945-10-03	228	A
USGS	12119000	1945-10-04	192	A
USGS	12119000	1945-10-05	180	A
USGS	12119000	1945-10-06	176	A
USGS	12119000	1945-10-07	203	A
USGS	12119000	1945-10-08	206	A
USGS	12119000	1945-10-09	224	A
USGS	12119000	1945-10-10	248	A
USGS	12119000	1945-10-11	290	A
USGS	12119000	1945-10-12	180	A
USGS	12119000	1945-10-13	188	A
USGS	12119000	1945-10-14	210	A
USGS	12119000	1945-10-15	219	A
USGS	12119000	1945-10-16	257	A
USGS	12119000	1945-10-17	288	A
USGS	12119000	1945-10-18	286	A
USGS	12119000	1945-10-19	324	A
USGS	12119000	1945-10-20	375	A
USGS	12119000	1945-10-21	296	A
USGS	12119000	1945-10-22	260	A
USGS	12119000	1945-10-23	276	A
USGS	12119000	1945-10-24	322	A
USGS	12119000	1945-10-25	456	A
USGS	12119000	1945-10-26	482	A
USGS	12119000	1945-10-27	662	A
USGS	12119000	1945-10-28	580	A
USGS	12119000	1945-10-29	694	A
USGS	12119000	1945-10-30	758	A
USGS	12119000	1945-10-31	970	A
USGS	12119000	1945-11-01	698	A
USGS	12119000	1945-11-02	854	A
USGS	12119000	1945-11-03	836	A
USGS	12119000	1945-11-04	929	A
USGS	12119000	1945-11-05	1220	A
USGS	12119000	1945-11-06	980	A
USGS	12119000	1945-11-07	852	A
USGS	12119000	1945-11-08	879	A
USGS	12119000	1945-11-09	835	A
USGS	12119000	1945-11-10	849	A
USGS	12119000	1945-11-11	942	A
USGS	12119000	1945-11-12	824	A
USGS	12119000	1945-11-13	1010	A
USGS	12119000	1945-11-14	1270	A
USGS	12119000	1945-11-15	1290	A
USGS	12119000	1945-11-16	1350	A
