agency_cd	site_no	datetime	148703_00060_00003	148703_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12091500	1938-01-01	440	A
USGS	12091500	1938-01-02	420	A
USGS	12091500	1938-01-03	400	A
USGS	12091500	1938-01-04	380	A
USGS	12091500	1938-01-05	360	A
USGS	12091500	1938-01-06	350	A
USGS	12091500	1938-01-07	340	A
USGS	12091500	1938-01-08	330	A
USGS	12091500	1938-01-09	323	A
USGS	12091500	1938-01-10	314	A
USGS	12091500	1938-01-11	294	A
USGS	12091500	1938-01-12	297	A
USGS	12091500	1938-01-13	300	A
USGS	12091500	1938-01-14	361	A
USGS	12091500	1938-01-15	327	A
USGS	12091500	1938-01-16	340	A
USGS	12091500	1938-01-17	361	A
USGS	12091500	1938-01-18	385	A
USGS	12091500	1938-01-19	368	A
USGS	12091500	1938-01-20	374	A
USGS	12091500	1938-01-21	378	A
USGS	12091500	1938-01-22	368	A
USGS	12091500	1938-01-23	350	A
USGS	12091500	1938-01-24	333	A
USGS	12091500	1938-01-25	323	A
USGS	12091500	1938-01-26	317	A
USGS	12091500	1938-01-27	304	A
USGS	12091500	1938-01-28	307	A
USGS	12091500	1938-01-29	307	A
USGS	12091500	1938-01-30	294	A
USGS	12091500	1938-01-31	300	A
USGS	12091500	1938-02-01	310	A
USGS	12091500	1938-02-02	304	A
USGS	12091500	1938-02-03	294	A
USGS	12091500	1938-02-04	292	A
USGS	12091500	1938-02-05	289	A
USGS	12091500	1938-02-06	287	A
USGS	12091500	1938-02-07	284	A
USGS	12091500	1938-02-08	282	A
USGS	12091500	1938-02-09	285	A
USGS	12091500	1938-02-10	288	A
USGS	12091500	1938-02-11	291	A
USGS	12091500	1938-02-12	291	A
USGS	12091500	1938-02-13	288	A
USGS	12091500	1938-02-14	282	A
USGS	12091500	1938-02-15	275	A
USGS	12091500	1938-02-16	269	A
USGS	12091500	1938-02-17	263	A
USGS	12091500	1938-02-18	260	A
USGS	12091500	1938-02-19	254	A
USGS	12091500	1938-02-20	263	A
USGS	12091500	1938-02-21	254	A
USGS	12091500	1938-02-22	246	A
USGS	12091500	1938-02-23	243	A
USGS	12091500	1938-02-24	237	A
USGS	12091500	1938-02-25	232	A
USGS	12091500	1938-02-26	229	A
USGS	12091500	1938-02-27	224	A
USGS	12091500	1938-02-28	224	A
USGS	12091500	1938-03-01	221	A
USGS	12091500	1938-03-02	224	A
USGS	12091500	1938-03-03	218	A
USGS	12091500	1938-03-04	218	A
USGS	12091500	1938-03-05	210	A
USGS	12091500	1938-03-06	205	A
USGS	12091500	1938-03-07	202	A
USGS	12091500	1938-03-08	202	A
USGS	12091500	1938-03-09	200	A
USGS	12091500	1938-03-10	198	A
USGS	12091500	1938-03-11	192	A
USGS	12091500	1938-03-12	195	A
USGS	12091500	1938-03-13	198	A
USGS	12091500	1938-03-14	195	A
USGS	12091500	1938-03-15	198	A
USGS	12091500	1938-03-16	208	A
USGS	12091500	1938-03-17	200	A
USGS	12091500	1938-03-18	237	A
USGS	12091500	1938-03-19	232	A
USGS	12091500	1938-03-20	224	A
USGS	12091500	1938-03-21	226	A
USGS	12091500	1938-03-22	243	A
USGS	12091500	1938-03-23	263	A
USGS	12091500	1938-03-24	254	A
