 agency_cd	site_no	datetime	148628_00060_00003	148628_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12076800	2004-10-01	36.0	A:e
USGS	12076800	2004-10-02	35.0	A:e
USGS	12076800	2004-10-03	35.0	A:e
USGS	12076800	2004-10-04	35.0	A:e
USGS	12076800	2004-10-05	35.0	A:e
USGS	12076800	2004-10-06	36.0	A:e
USGS	12076800	2004-10-07	35.0	A:e
USGS	12076800	2004-10-08	62.0	A:e
USGS	12076800	2004-10-09	110	A:e
USGS	12076800	2004-10-10	111	A:e
USGS	12076800	2004-10-11	74.0	A:e
USGS	12076800	2004-10-12	58.0	A:e
USGS	12076800	2004-10-13	50.0	A:e
USGS	12076800	2004-10-14	45.0	A:e
USGS	12076800	2004-10-15	44.0	A:e
USGS	12076800	2004-10-16	43.0	A:e
USGS	12076800	2004-10-17	60.0	A:e
USGS	12076800	2004-10-18	85.0	A:e
USGS	12076800	2004-10-19	131	A
USGS	12076800	2004-10-20	124	A
USGS	12076800	2004-10-21	93.1	A
USGS	12076800	2004-10-22	92.2	A
USGS	12076800	2004-10-23	92.5	A
USGS	12076800	2004-10-24	77.9	A
USGS	12076800	2004-10-25	76.9	A
USGS	12076800	2004-10-26	117	A
USGS	12076800	2004-10-27	95.6	A
USGS	12076800	2004-10-28	78.4	A
USGS	12076800	2004-10-29	69.2	A
USGS	12076800	2004-10-30	93.4	A
USGS	12076800	2004-10-31	87.6	A
USGS	12076800	2004-11-01	107	A
USGS	12076800	2004-11-02	266	A
USGS	12076800	2004-11-03	241	A
USGS	12076800	2004-11-04	168	A
USGS	12076800	2004-11-05	129	A
USGS	12076800	2004-11-06	109	A
USGS	12076800	2004-11-07	93.9	A
USGS	12076800	2004-11-08	88.3	A
USGS	12076800	2004-11-09	82.7	A
USGS	12076800	2004-11-10	77.0	A
USGS	12076800	2004-11-11	75.4	A
USGS	12076800	2004-11-12	73.1	A
USGS	12076800	2004-11-13	72.1	A
USGS	12076800	2004-11-14	74.1	A
USGS	12076800	2004-11-15	79.5	A
USGS	12076800	2004-11-16	81.1	A
USGS	12076800	2004-11-17	85.1	A
USGS	12076800	2004-11-18	113	A
USGS	12076800	2004-11-19	111	A
USGS	12076800	2004-11-20	86.2	A
USGS	12076800	2004-11-21	80.7	A
USGS	12076800	2004-11-22	78.8	A
USGS	12076800	2004-11-23	77.1	A
USGS	12076800	2004-11-24	142	A
USGS	12076800	2004-11-25	282	A
USGS	12076800	2004-11-26	222	A
USGS	12076800	2004-11-27	171	A
USGS	12076800	2004-11-28	138	A
USGS	12076800	2004-11-29	120	A
USGS	12076800	2004-11-30	128	A
USGS	12076800	2004-12-01	119	A
USGS	12076800	2004-12-02	104	A
USGS	12076800	2004-12-03	93.1	A
USGS	12076800	2004-12-04	112	A
USGS	12076800	2004-12-05	158	A
USGS	12076800	2004-12-06	138	A
USGS	12076800	2004-12-07	184	A
USGS	12076800	2004-12-08	303	A
USGS	12076800	2004-12-09	342	A
USGS	12076800	2004-12-10	542	A
USGS	12076800	2004-12-11	731	A
USGS	12076800	2004-12-12	511	A
USGS	12076800	2004-12-13	368	A
USGS	12076800	2004-12-14	363	A
USGS	12076800	2004-12-15	347	A
USGS	12076800	2004-12-16	275	A
USGS	12076800	2004-12-17	225	A
USGS	12076800	2004-12-18	193	A
USGS	12076800	2004-12-19	170	A
USGS	12076800	2004-12-20	152	A
USGS	12076800	2004-12-21	132	A
USGS	12076800	2004-12-22	118	A
USGS	12076800	2004-12-23	111	A
USGS	12076800	2004-12-24	107	A
USGS	12076800	2004-12-25	119	A
USGS	12076800	2004-12-26	141	A
USGS	12076800	2004-12-27	111	A
USGS	12076800	2004-12-28	99.9	A
USGS	12076800	2004-12-29	98.9	A
USGS	12076800	2004-12-30	99.8	A
USGS	12076800	2004-12-31	94.6	A
USGS	12076800	2005-01-01	103	A
USGS	12076800	2005-01-02	104	A
USGS	12076800	2005-01-03	92.4	A
USGS	12076800	2005-01-04	86.3	A
USGS	12076800	2005-01-05	82.6	A
USGS	12076800	2005-01-06	82.5	A
USGS	12076800	2005-01-07	108	A
USGS	12076800	2005-01-08	123	A
USGS	12076800	2005-01-09	115	A
USGS	12076800	2005-01-10	104	A
USGS	12076800	2005-01-11	97.0	A
USGS	12076800	2005-01-12	108	A
USGS	12076800	2005-01-13	101	A
USGS	12076800	2005-01-14	93.3	A
USGS	12076800	2005-01-15	89.8	A
USGS	12076800	2005-01-16	145	A
USGS	12076800	2005-01-17	515	A
USGS	12076800	2005-01-18	1310	A
USGS	12076800	2005-01-19	1030	A
USGS	12076800	2005-01-20	588	A
USGS	12076800	2005-01-21	433	A
USGS	12076800	2005-01-22	345	A
USGS	12076800	2005-01-23	307	A
USGS	12076800	2005-01-24	259	A
USGS	12076800	2005-01-25	224	A
USGS	12076800	2005-01-26	205	A
USGS	12076800	2005-01-27	189	A
USGS	12076800	2005-01-28	174	A
USGS	12076800	2005-01-29	161	A
USGS	12076800	2005-01-30	155	A
USGS	12076800	2005-01-31	155	A
USGS	12076800	2005-02-01	148	A
USGS	12076800	2005-02-02	140	A
USGS	12076800	2005-02-03	134	A
USGS	12076800	2005-02-04	136	A
USGS	12076800	2005-02-05	135	A
USGS	12076800	2005-02-06	146	A
USGS	12076800	2005-02-07	162	A
USGS	12076800	2005-02-08	136	A
USGS	12076800	2005-02-09	128	A
USGS	12076800	2005-02-10	124	A
USGS	12076800	2005-02-11	122	A
USGS	12076800	2005-02-12	132	A
USGS	12076800	2005-02-13	126	A
USGS	12076800	2005-02-14	114	A
USGS	12076800	2005-02-15	110	A
USGS	12076800	2005-02-16	108	A
USGS	12076800	2005-02-17	105	A
USGS	12076800	2005-02-18	105	A
USGS	12076800	2005-02-19	104	A
USGS	12076800	2005-02-20	101	A
USGS	12076800	2005-02-21	97.8	A
USGS	12076800	2005-02-22	96.3	A
USGS	12076800	2005-02-23	94.8	A
USGS	12076800	2005-02-24	94.5	A
USGS	12076800	2005-02-25	94.8	A
USGS	12076800	2005-02-26	94.1	A
USGS	12076800	2005-02-27	93.4	A
USGS	12076800	2005-02-28	99.1	A
USGS	12076800	2005-03-01	154	A
USGS	12076800	2005-03-02	133	A
USGS	12076800	2005-03-03	115	A
USGS	12076800	2005-03-04	104	A
USGS	12076800	2005-03-05	99.4	A
USGS	12076800	2005-03-06	96.9	A
USGS	12076800	2005-03-07	94.1	A
USGS	12076800	2005-03-08	91.9	A
USGS	12076800	2005-03-09	90.7	A
USGS	12076800	2005-03-10	88.8	A
USGS	12076800	2005-03-11	86.7	A
USGS	12076800	2005-03-12	85.6	A
USGS	12076800	2005-03-13	82.9	A
USGS	12076800	2005-03-14	82.0	A
USGS	12076800	2005-03-15	81.2	A
USGS	12076800	2005-03-16	85.7	A
USGS	12076800	2005-03-17	91.4	A
USGS	12076800	2005-03-18	84.9	A
USGS	12076800	2005-03-19	90.4	A
USGS	12076800	2005-03-20	155	A
USGS	12076800	2005-03-21	160	A
USGS	12076800	2005-03-22	128	A
USGS	12076800	2005-03-23	110	A
USGS	12076800	2005-03-24	106	A
USGS	12076800	2005-03-25	103	A
USGS	12076800	2005-03-26	271	A
USGS	12076800	2005-03-27	429	A
USGS	12076800	2005-03-28	360	A
USGS	12076800	2005-03-29	335	A
USGS	12076800	2005-03-30	283	A
USGS	12076800	2005-03-31	234	A
USGS	12076800	2005-04-01	264	A
USGS	12076800	2005-04-02	254	A
USGS	12076800	2005-04-03	242	A
USGS	12076800	2005-04-04	220	A
USGS	12076800	2005-04-05	198	A
USGS	12076800	2005-04-06	219	A
USGS	12076800	2005-04-07	198	A
USGS	12076800	2005-04-08	185	A
USGS	12076800	2005-04-09	159	A
USGS	12076800	2005-04-10	146	A
USGS	12076800	2005-04-11	196	A
USGS	12076800	2005-04-12	183	A
USGS	12076800	2005-04-13	183	A
USGS	12076800	2005-04-14	169	A
USGS	12076800	2005-04-15	177	A
USGS	12076800	2005-04-16	306	A
USGS	12076800	2005-04-17	306	A
USGS	12076800	2005-04-18	260	A
USGS	12076800	2005-04-19	217	A
USGS	12076800	2005-04-20	191	A
USGS	12076800	2005-04-21	171	A
USGS	12076800	2005-04-22	157	A
USGS	12076800	2005-04-23	144	A
USGS	12076800	2005-04-24	143	A
USGS	12076800	2005-04-25	141	A
USGS	12076800	2005-04-26	134	A
USGS	12076800	2005-04-27	123	A
USGS	12076800	2005-04-28	117	A
USGS	12076800	2005-04-29	114	A
USGS	12076800	2005-04-30	116	A
USGS	12076800	2005-05-01	113	A
USGS	12076800	2005-05-02	114	A
USGS	12076800	2005-05-03	116	A
USGS	12076800	2005-05-04	109	A
USGS	12076800	2005-05-05	108	A
USGS	12076800	2005-05-06	101	A
USGS	12076800	2005-05-07	95.1	A
USGS	12076800	2005-05-08	95.5	A
USGS	12076800	2005-05-09	97.4	A
USGS	12076800	2005-05-10	153	A
USGS	12076800	2005-05-11	129	A
