# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-03-07 11:55:38 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12080010 DESCHUTES RIVER AT E ST BRIDGE AT TUMWATER, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12080010
#            TS   parameter     statistic     Description
#        148640       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	148640_00060_00003	148640_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12080010	1945-05-01	298	A
USGS	12080010	1945-05-02	302	A
USGS	12080010	1945-05-03	338	A
USGS	12080010	1945-05-04	346	A
USGS	12080010	1945-05-05	314	A
USGS	12080010	1945-05-06	283	A
USGS	12080010	1945-05-07	267	A
USGS	12080010	1945-05-08	252	A
USGS	12080010	1945-05-09	245	A
USGS	12080010	1945-05-10	238	A
USGS	12080010	1945-05-11	245	A
USGS	12080010	1945-05-12	294	A
USGS	12080010	1945-05-13	330	A
USGS	12080010	1945-05-14	362	A
USGS	12080010	1945-05-15	391	A
USGS	12080010	1945-05-16	425	A
USGS	12080010	1945-05-17	552	A
USGS	12080010	1945-05-18	467	A
USGS	12080010	1945-05-19	420	A
USGS	12080010	1945-05-20	387	A
USGS	12080010	1945-05-21	354	A
USGS	12080010	1945-05-22	334	A
USGS	12080010	1945-05-23	346	A
USGS	12080010	1945-05-24	395	A
USGS	12080010	1945-05-25	366	A
USGS	12080010	1945-05-26	326	A
USGS	12080010	1945-05-27	298	A
USGS	12080010	1945-05-28	267	A
