# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-03-07 11:58:56 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12089500 NISQUALLY RIVER AT MCKENNA, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12089500
#            TS   parameter     statistic     Description
#        148674       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	148674_00060_00003	148674_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12089500	1947-10-01	1300	A
USGS	12089500	1947-10-02	900	A
USGS	12089500	1947-10-03	930	A
USGS	12089500	1947-10-04	400	A
USGS	12089500	1947-10-05	250	A
USGS	12089500	1947-10-06	750	A
USGS	12089500	1947-10-07	800	A
USGS	12089500	1947-10-08	830	A
USGS	12089500	1947-10-09	600	A
USGS	12089500	1947-10-10	600	A
USGS	12089500	1947-10-11	400	A
USGS	12089500	1947-10-12	300	A
USGS	12089500	1947-10-13	550	A
USGS	12089500	1947-10-14	500	A
USGS	12089500	1947-10-15	600	A
USGS	12089500	1947-10-16	1100	A
USGS	12089500	1947-10-17	1200	A
USGS	12089500	1947-10-18	2000	A
USGS	12089500	1947-10-19	6200	A
USGS	12089500	1947-10-20	7000	A
USGS	12089500	1947-10-21	5200	A
USGS	12089500	1947-10-22	4700	A
USGS	12089500	1947-10-23	3000	A
USGS	12089500	1947-10-24	900	A
USGS	12089500	1947-10-25	496	A
USGS	12089500	1947-10-26	398	A
USGS	12089500	1947-10-27	796	A
USGS	12089500	1947-10-28	713	A
USGS	12089500	1947-10-29	1130	A
USGS	12089500	1947-10-30	1550	A
USGS	12089500	1947-10-31	2940	A
USGS	12089500	1947-11-01	3450	A
