agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	12052390	2	1993-06-01 13:45:00	PDT	Yes	TH/ JB	USGS	1.71	183	Good	0.00	0.50	Clear	MEAS
USGS	12052390	3	1993-06-30 15:50:00	PDT	Yes	TH/ LH	USGS	1.21	82.7	Good	0.00	0.50	Clear	MEAS
USGS	12052390	4	1993-08-02 10:00:00	PDT	Yes	TH/ LH	USGS	1.38	111	Good	0.00	0.50	Clear	MEAS
USGS	12052390	5	1993-08-16 11:15:00	PDT	Yes	TH/ LH	USGS	0.93	46.8	Good	0.00	0.40	Clear	MEAS
USGS	12052390	6	1993-09-08 15:18:00	PDT	Yes	TH/ LH	USGS	0.38	12.5	Good	0.00	0.50	Clear	MEAS
USGS	12052390	7	1993-09-22 13:31:00	PDT	Yes	TH/ LH	USGS	0.18	6.41	Fair	0.00	0.50	Clear	MEAS
USGS	12052390	8	1993-10-18 14:21:00	PDT	Yes	TH/ LH	USGS	0.07	4.46	Fair	0.00	0.40	Clear	MEAS
USGS	12052390	9	1993-11-15 14:00:00	PST	Yes	TH/ LH	USGS	0.10	4.50	Fair	0.00	0.40	DebrisLight	MEAS
USGS	12052390	10	1994-02-02 13:06:00	PST	Yes	TH	USGS	4.65	63.0	Good	0.00	0.40	DebrisModerate	MEAS
USGS	12052390	11	1994-03-21 14:27:00	PST	Yes	TH	USGS	5.00	134	Good	0.00	0.50	DebrisLight	MEAS
USGS	12052390	12	1994-04-12 16:07:00	PDT	Yes	TH/ LH	USGS	5.04	140	Good	0.00	0.50	Clear	MEAS
USGS	12052390	13	1994-05-25 13:25:00	PDT	Yes	TH/ LH	USGS	4.74	81.6	Good	0.00	0.40	Clear	MEAS
USGS	12052390	14	1994-08-24 10:05:00	PDT	Yes	BP	USGS	3.88	1.84	Fair	0.00	0.90	Clear	MEAS
USGS	12052390	15	1995-05-25 12:48:00	PDT	Yes	TEN/BP	USGS	4.72	205	Good	0.00	0.40	Clear	MEAS
USGS	12052390	16	1995-11-02 12:20:00	PST	Yes	BP	USGS	3.00	5.09	Good			Clear	MEAS
