agency_cd	site_no	datetime	148595_00060_00003	148595_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12061500	1943-07-01	763	A
USGS	12061500	1943-07-02	623	A
USGS	12061500	1943-07-03	403	A
USGS	12061500	1943-07-04	370	A
USGS	12061500	1943-07-05	339	A
USGS	12061500	1943-07-06	315	A
USGS	12061500	1943-07-07	301	A
USGS	12061500	1943-07-08	296	A
USGS	12061500	1943-07-09	325	A
USGS	12061500	1943-07-10	320	A
USGS	12061500	1943-07-11	301	A
USGS	12061500	1943-07-12	292	A
USGS	12061500	1943-07-13	284	A
USGS	12061500	1943-07-14	271	A
USGS	12061500	1943-07-15	266	A
USGS	12061500	1943-07-16	262	A
USGS	12061500	1943-07-17	258	A
USGS	12061500	1943-07-18	251	A
USGS	12061500	1943-07-19	251	A
USGS	12061500	1943-07-20	243	A
USGS	12061500	1943-07-21	239	A
USGS	12061500	1943-07-22	235	A
USGS	12061500	1943-07-23	232	A
USGS	12061500	1943-07-24	228	A
USGS	12061500	1943-07-25	228	A
USGS	12061500	1943-07-26	218	A
USGS	12061500	1943-07-27	218	A
USGS	12061500	1943-07-28	218	A
USGS	12061500	1943-07-29	218	A
USGS	12061500	1943-07-30	214	A
USGS	12061500	1943-07-31	208	A
USGS	12061500	1943-08-01	208	A
USGS	12061500	1943-08-02	205	A
USGS	12061500	1943-08-03	205	A
USGS	12061500	1943-08-04	205	A
USGS	12061500	1943-08-05	205	A
USGS	12061500	1943-08-06	214	A
USGS	12061500	1943-08-07	211	A
USGS	12061500	1943-08-08	211	A
USGS	12061500	1943-08-09	205	A
USGS	12061500	1943-08-10	202	A
USGS	12061500	1943-08-11	198	A
USGS	12061500	1943-08-12	198	A
USGS	12061500	1943-08-13	195	A
USGS	12061500	1943-08-14	192	A
USGS	12061500	1943-08-15	189	A
USGS	12061500	1943-08-16	189	A
USGS	12061500	1943-08-17	187	A
USGS	12061500	1943-08-18	187	A
USGS	12061500	1943-08-19	184	A
USGS	12061500	1943-08-20	187	A
USGS	12061500	1943-08-21	195	A
USGS	12061500	1943-08-22	221	A
USGS	12061500	1943-08-23	214	A
USGS	12061500	1943-08-24	198	A
USGS	12061500	1943-08-25	192	A
USGS	12061500	1943-08-26	189	A
USGS	12061500	1943-08-27	187	A
USGS	12061500	1943-08-28	184	A
USGS	12061500	1943-08-29	184	A
USGS	12061500	1943-08-30	184	A
USGS	12061500	1943-08-31	181	A
USGS	12061500	1943-09-01	181	A
USGS	12061500	1943-09-02	181	A
USGS	12061500	1943-09-03	178	A
USGS	12061500	1943-09-04	176	A
USGS	12061500	1943-09-05	173	A
USGS	12061500	1943-09-06	170	A
USGS	12061500	1943-09-07	170	A
USGS	12061500	1943-09-08	168	A
USGS	12061500	1943-09-09	165	A
USGS	12061500	1943-09-10	163	A
USGS	12061500	1943-09-11	163	A
USGS	12061500	1943-09-12	163	A
USGS	12061500	1943-09-13	163	A
USGS	12061500	1943-09-14	163	A
USGS	12061500	1943-09-15	161	A
USGS	12061500	1943-09-16	158	A
USGS	12061500	1943-09-17	158	A
USGS	12061500	1943-09-18	158	A
USGS	12061500	1943-09-19	156	A
USGS	12061500	1943-09-20	154	A
USGS	12061500	1943-09-21	152	A
USGS	12061500	1943-09-22	152	A
USGS	12061500	1943-09-23	150	A
USGS	12061500	1943-09-24	147	A
USGS	12061500	1943-09-25	145	A
USGS	12061500	1943-09-26	147	A
USGS	12061500	1943-09-27	158	A
USGS	12061500	1943-09-28	161	A
USGS	12061500	1943-09-29	154	A
USGS	12061500	1943-09-30	152	A
USGS	12061500	1943-10-01	145	A
USGS	12061500	1943-10-02	143	A
USGS	12061500	1943-10-03	145	A
USGS	12061500	1943-10-04	147	A
USGS	12061500	1943-10-05	154	A
USGS	12061500	1943-10-06	158	A
USGS	12061500	1943-10-07	152	A
USGS	12061500	1943-10-08	150	A
USGS	12061500	1943-10-09	147	A
USGS	12061500	1943-10-10	156	A
USGS	12061500	1943-10-11	330	A
USGS	12061500	1943-10-12	271	A
USGS	12061500	1943-10-13	218	A
USGS	12061500	1943-10-14	195	A
USGS	12061500	1943-10-15	189	A
USGS	12061500	1943-10-16	214	A
USGS	12061500	1943-10-17	568	A
USGS	12061500	1943-10-18	443	A
USGS	12061500	1943-10-19	334	A
USGS	12061500	1943-10-20	279	A
USGS	12061500	1943-10-21	262	A
USGS	12061500	1943-10-22	292	A
USGS	12061500	1943-10-23	305	A
USGS	12061500	1943-10-24	1620	A
USGS	12061500	1943-10-25	2340	A
USGS	12061500	1943-10-26	1620	A
USGS	12061500	1943-10-27	1060	A
USGS	12061500	1943-10-28	798	A
USGS	12061500	1943-10-29	672	A
USGS	12061500	1943-10-30	575	A
USGS	12061500	1943-10-31	503	A
USGS	12061500	1943-11-01	472	A
USGS	12061500	1943-11-02	485	A
USGS	12061500	1943-11-03	756	A
USGS	12061500	1943-11-04	1770	A
USGS	12061500	1943-11-05	1390	A
USGS	12061500	1943-11-06	1050	A
USGS	12061500	1943-11-07	835	A
USGS	12061500	1943-11-08	721	A
USGS	12061500	1943-11-09	623	A
USGS	12061500	1943-11-10	548	A
USGS	12061500	1943-11-11	503	A
USGS	12061500	1943-11-12	466	A
USGS	12061500	1943-11-13	437	A
USGS	12061500	1943-11-14	420	A
USGS	12061500	1943-11-15	397	A
USGS	12061500	1943-11-16	386	A
USGS	12061500	1943-11-17	381	A
USGS	12061500	1943-11-18	370	A
USGS	12061500	1943-11-19	359	A
USGS	12061500	1943-11-20	386	A
USGS	12061500	1943-11-21	397	A
USGS	12061500	1943-11-22	376	A
USGS	12061500	1943-11-23	349	A
USGS	12061500	1943-11-24	334	A
USGS	12061500	1943-11-25	325	A
USGS	12061500	1943-11-26	320	A
USGS	12061500	1943-11-27	310	A
USGS	12061500	1943-11-28	305	A
USGS	12061500	1943-11-29	310	A
USGS	12061500	1943-11-30	937	A
USGS	12061500	1943-12-01	1030	A
USGS	12061500	1943-12-02	5250	A
USGS	12061500	1943-12-03	7960	A
USGS	12061500	1943-12-04	3190	A
USGS	12061500	1943-12-05	2170	A
USGS	12061500	1943-12-06	1670	A
USGS	12061500	1943-12-07	1390	A
USGS	12061500	1943-12-08	1200	A
USGS	12061500	1943-12-09	1040	A
USGS	12061500	1943-12-10	920	A
USGS	12061500	1943-12-11	828	A
USGS	12061500	1943-12-12	742	A
USGS	12061500	1943-12-13	672	A
USGS	12061500	1943-12-14	609	A
USGS	12061500	1943-12-15	562	A
USGS	12061500	1943-12-16	509	A
USGS	12061500	1943-12-17	472	A
USGS	12061500	1943-12-18	454	A
USGS	12061500	1943-12-19	431	A
USGS	12061500	1943-12-20	420	A
USGS	12061500	1943-12-21	408	A
USGS	12061500	1943-12-22	392	A
USGS	12061500	1943-12-23	376	A
USGS	12061500	1943-12-24	1400	A
USGS	12061500	1943-12-25	1870	A
USGS	12061500	1943-12-26	1210	A
USGS	12061500	1943-12-27	976	A
USGS	12061500	1943-12-28	820	A
USGS	12061500	1943-12-29	728	A
USGS	12061500	1943-12-30	672	A
USGS	12061500	1943-12-31	658	A
USGS	12061500	1944-01-01	1140	A
USGS	12061500	1944-01-02	1720	A
USGS	12061500	1944-01-03	1260	A
USGS	12061500	1944-01-04	1060	A
USGS	12061500	1944-01-05	928	A
USGS	12061500	1944-01-06	805	A
USGS	12061500	1944-01-07	735	A
USGS	12061500	1944-01-08	700	A
USGS	12061500	1944-01-09	658	A
USGS	12061500	1944-01-10	623	A
